harm,left_run,right_run,left_name,right_name,comparison_scope,embedding_similarity,embedding_distance,llm_similarity,llm_distance,combined_similarity,combined_distance,llm_redundant,llm_rationale,exact_name_match,exact_dimension_match,deduplication_match,deduplication_reasons
relationship_entanglement,run-1,run-1,user_age_context,social_connection_state,within_run,0.509261,0.490739,0.0,1.0,0.25463,0.74537,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-1,user_age_context,relationship_frame,within_run,0.498229,0.501771,0.0,1.0,0.249114,0.750886,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-1,user_age_context,conversation_purpose,within_run,0.438992,0.561008,0.0,1.0,0.219496,0.780504,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-1,user_age_context,interaction_intensity,within_run,0.454053,0.545947,0.0,1.0,0.227026,0.772974,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-1,user_age_context,assistant_initiative,within_run,0.514051,0.485949,0.0,1.0,0.257026,0.742974,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-1,user_age_context,human_support_stance,within_run,0.530561,0.469439,0.0,1.0,0.26528,0.73472,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-1,user_age_context,boundary_trajectory,within_run,0.414796,0.585204,0.0,1.0,0.207398,0.792602,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,developmental_context,across_run,0.826992,0.173008,1.0,0.0,0.913496,0.086504,True,LLM assigned both dimensions to duplicate group 'DG-AGE-CONTEXT'.,False,False,True,LLM judged substantially interchangeable
relationship_entanglement,run-1,run-2,user_age_context,ai_relationship_perception,across_run,0.482624,0.517376,0.0,1.0,0.241312,0.758688,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,conversation_sensitivity,across_run,0.527008,0.472992,0.0,1.0,0.263504,0.736496,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,trusted_support_availability,across_run,0.558296,0.441704,0.0,1.0,0.279148,0.720852,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,personal_disclosure_pressure,across_run,0.543152,0.456848,0.0,1.0,0.271576,0.728424,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,secrecy_frame,across_run,0.562743,0.437257,0.0,1.0,0.281371,0.718629,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,relationship_simulation_type,across_run,0.512837,0.487163,0.0,1.0,0.256418,0.743582,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,boundary_persistence,across_run,0.489656,0.510344,0.0,1.0,0.244828,0.755172,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-2,user_age_context,human_ai_preference,across_run,0.477075,0.522925,0.0,1.0,0.238538,0.761462,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,user_age_signal,across_run,0.819273,0.180727,1.0,0.0,0.909636,0.090364,True,LLM assigned both dimensions to duplicate group 'DG-AGE-CONTEXT'.,False,False,True,LLM judged substantially interchangeable
relationship_entanglement,run-1,run-3,user_age_context,ai_identity_frame,across_run,0.528997,0.471003,0.0,1.0,0.264499,0.735501,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,reciprocity_request,across_run,0.408469,0.591531,0.0,1.0,0.204235,0.795765,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,agreement_pressure,across_run,0.445469,0.554531,0.0,1.0,0.222735,0.777265,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,assistant_initiative_context,across_run,0.545264,0.454736,0.0,1.0,0.272632,0.727368,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,disengagement_cue,across_run,0.470444,0.529556,0.0,1.0,0.235222,0.764778,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,exposure_history,across_run,0.423106,0.576894,0.0,1.0,0.211553,0.788447,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,social_substitution_direction,across_run,0.470251,0.529749,0.0,1.0,0.235125,0.764875,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,relational_escalation_stage,across_run,0.463057,0.536943,0.0,1.0,0.231528,0.768472,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-3,user_age_context,repair_consistency,across_run,0.413327,0.586673,0.0,1.0,0.206663,0.793337,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-4,user_age_context,personal_decision_stakes,across_run,0.455098,0.544902,0.0,1.0,0.227549,0.772451,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-4,user_age_context,claim_grounding_quality,across_run,0.4095,0.5905,0.0,1.0,0.20475,0.79525,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-4,user_age_context,agreement_pressure,across_run,0.432884,0.567116,0.0,1.0,0.216442,0.783558,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-4,user_age_context,real_relationship_condition,across_run,0.507441,0.492559,0.0,1.0,0.253721,0.746279,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-4,user_age_context,requested_assistant_authority,across_run,0.453688,0.546312,0.0,1.0,0.226844,0.773156,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
relationship_entanglement,run-1,run-4,user_age_context,ai_human_comparison_frame,across_run,0.426586,0.573414,0.0,1.0,0.213293,0.786707,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
